name,release_date,price,positive,negative,app_id,min_owners,max_owners,hltb_single
TowerClimb,2015-09-22,14.99,288,28,396640,0,20000,72.0
Mission Ammunition,2017-10-27,0.49,61,16,726020,0,20000,
The Glow,2015-12-10,3.99,8,16,424060,0,20000,
Fat City,2018-10-22,9.99,3,0,514870,0,20000,
Dark Eden,2016-11-28,0.0,124,132,548290,50000,100000,
Hex: Origins,2017-09-23,1.99,8,0,695420,0,20000,
ANARCHY,2020-05-07,0.0,12,6,1241110,500000,1000000,1.0
Dark Throne,2017-03-03,0.99,17,17,587490,0,20000,
Puyo Puyo™Tetris®,2018-02-27,19.99,4181,806,546050,500000,1000000,
Numba Deluxe,2014-05-23,2.99,164,95,301700,200000,500000,3.0
Pickup One,2022-06-03,19.99,0,1,2004200,0,20000,
DuckMan,2021-04-17,3.99,2,8,1588070,0,20000,4.0
DYNASTY WARRIORS 9,2018-02-13,44.99,3075,6009,730310,1000000,2000000,42.0
The Chaos Engine,2013-08-29,9.99,245,130,242530,100000,200000,7.0
Domino House,2020-10-28,7.99,21,1,1372570,0,20000,
Ragnarock,2021-07-15,16.24,2108,111,1345820,50000,100000,3.0
Into the Void,2015-12-04,1.99,80,50,420270,0,20000,
10 Second Ninja X,2016-07-19,0.99,2083,481,435790,200000,500000,2.0
咕啾！文鸟恋爱物语 Love Story of Sparrow,2019-02-01,0.99,242,27,926310,0,20000,
Critical Gravity,2019-12-16,9.99,6,2,788020,0,20000,
Go For Launch: Mercury,2021-07-04,9.99,53,11,467400,0,20000,
ARENA 8,2018-05-16,0.49,1,3,856730,20000,50000,
Furries & Scalies: Friendswood,2020-01-31,9.99,1,0,1106950,0,20000,
DEVOUR,2021-01-28,3.99,41425,3672,1274570,1000000,2000000,3.0
Doug Flutie's Maximum Football 2020,2020-12-29,29.99,26,24,1470790,0,20000,
Life In Yima / 依玛村生活,2021-04-05,5.99,14,2,1087620,0,20000,
Chicken Bomb,2020-07-29,0.99,68,3,1348430,0,20000,
Welcome To... Chichester 2 - Part II : No Extra Regrets For The Future,2021-09-30,9.99,6,0,1547580,0,20000,
Super Soccer Blast,2020-06-19,7.99,79,29,1253680,0,20000,
Line/Dash,2016-07-11,1.99,25,7,497670,0,20000,
PuzzGun,2018-05-09,2.99,15,1,850040,0,20000,
Santa's vacation,2017-11-22,1.99,9,4,741770,0,20000,
The Fan,2017-05-10,5.99,72,43,572330,0,20000,1.0
Misha Adventures,2021-07-25,10.99,10,10,1683240,0,20000,
Mosaics Galore,2018-07-27,0.49,68,20,567150,20000,50000,6.0
Kingdom: The Far Reaches,2017-09-08,9.99,2,0,700880,100000,200000,
Yoli TD,2021-09-28,4.99,26,0,1413090,0,20000,
Merek's Market,2021-09-15,19.99,16,0,1610860,0,20000,
BRAVE PINBALL,2020-11-26,9.99,11,9,1305570,0,20000,
Aliens vs. Ghosts,2022-07-06,4.99,69,2,1609730,0,20000,
伏雨录：少年篇,2018-05-11,6.99,72,8,717980,0,20000,
Grilled,2020-11-12,2.99,1,0,1417450,0,20000,
Magical Star Pillars,2018-04-27,0.0,1,0,778900,0,20000,
Biathlon Battle VR,2020-02-13,9.99,15,11,1004200,0,20000,
Bigfoot Forest,2021-01-08,0.99,73,15,1506230,0,20000,
Journey,2020-06-11,14.99,20432,1120,638230,500000,1000000,2.0
The Pointless Car Chase: Refueled,2022-02-22,0.74,26,3,1839080,0,20000,
Girlfriend Cards,2018-09-20,0.99,11,18,907460,0,20000,
Vetrix,2020-05-20,2.99,41,0,1307070,0,20000,
Ultra Foodmess,2020-02-20,3.99,65,3,1221640,0,20000,
Keeplanet,2018-04-06,0.99,14,8,703120,0,20000,
One Last Day,2015-04-28,12.99,65,38,328710,0,20000,
CHANGE: A Homeless Survival Experience,2020-05-01,14.99,1640,145,926140,100000,200000,4.0
天下镖局,2022-05-24,17.99,79,43,1700630,0,20000,
Destructions,2018-07-03,1.99,24,6,845290,0,20000,
Penkura,2018-12-19,9.99,37,3,739720,0,20000,
KarmaCrown,2021-11-02,2.99,2,0,1776800,0,20000,
Virtual Families 2: Our Dream House,2018-06-25,7.99,14,11,873970,0,20000,
Earth Marines,2021-07-13,10.99,13,5,1593100,0,20000,
Mystika 4 : Dark Omens,2020-08-08,9.99,10,1,1365900,20000,50000,
执行人 Executor,2018-11-06,1.99,14,2,962950,0,20000,
Hyperbolic Ignition,2018-02-12,0.99,3,3,778120,0,20000,
Third Rule of Universe.,2019-11-15,3.99,2,1,1187910,0,20000,
Slime Sports,2018-02-21,2.99,8,1,763350,0,20000,
Twilight Drive,2021-06-16,7.99,5,0,1537410,0,20000,
Worbital,2019-01-31,12.99,332,33,761910,0,20000,
Silver Chains,2019-08-06,24.99,420,147,975470,20000,50000,2.0
Neon Noodles - Cyberpunk Kitchen Automation,2019-11-29,14.99,33,1,990900,0,20000,
Floors of Discomfort,2015-05-26,1.99,5,2,372770,0,20000,
New Yankee in Santa's Service,2016-05-12,0.74,12,5,462580,0,20000,5.0
Twin Synth,2018-10-15,9.99,1,0,926870,0,20000,
Z.W!,2018-05-15,0.99,3,1,848720,0,20000,
Blocky Ball,2021-03-26,0.0,58,13,1343040,20000,50000,
Minds Eyes,2016-08-31,0.0,1078,440,519140,200000,500000,1.0
LIGHT,2018-04-05,0.99,5,4,821260,0,20000,1.0
To Save Humanity From Virus,2021-04-09,3.99,5,0,1565720,0,20000,
The Legend of Heroes: Trails of Cold Steel II,2018-02-14,39.99,2113,125,748490,50000,100000,49.0
Aoki Ookami to Shiroki Mejika,2016-12-13,12.99,2,1,545000,20000,50000,
BrainTeaser,2021-05-16,0.99,1,2,1623720,0,20000,
Damage: Sadistic Butchering of Humanity,2016-12-11,4.2,5,13,544220,0,20000,
Just Get Through,2015-01-30,4.99,185,28,338190,20000,50000,
Shape,2020-09-18,3.99,8,0,1375270,0,20000,
Bad birthday,2016-11-11,0.0,14,17,551680,0,20000,
Orbital Combat,2022-05-14,4.99,7,9,1693780,0,20000,
Survival Quiz CITY,2022-03-04,19.99,115,73,1466930,0,20000,
Space Tycoon | 星际大亨,2019-01-04,16.99,7,8,964920,0,20000,
Fables of Talumos,2019-09-01,6.99,8,0,1085570,0,20000,
Afterlife VR,2022-05-13,12.59,71,9,1528020,0,20000,
R.E.A.C.T,2022-03-21,5.99,0,1,1796350,0,20000,
Cat Saves Halloween,2020-10-26,7.99,20,1,1444320,0,20000,
Hentai Case Opening,2018-09-27,0.99,54,29,906050,0,20000,
Valhalla Hills,2015-12-02,0.69,646,544,351910,200000,500000,15.0
Geo,2017-01-31,8.99,138,22,513480,20000,50000,
Monster Energy Supercross - The Official Videogame 3,2020-02-04,29.99,900,126,1089830,20000,50000,
Silver Creek Falls: Chapter 2,2015-09-30,4.99,41,8,403070,0,20000,2.0
Gripper's Adventure,2018-03-21,10.99,1,0,811440,0,20000,
IN-VERT: Definitive Edition,2018-03-02,4.99,61,15,491010,20000,50000,2.0
Hare,2017-09-27,0.99,11,1,681290,0,20000,
Star Escape,2020-05-22,4.99,1,1,1233460,50000,100000,
Airport Firefighters - The Simulation,2015-05-13,17.99,94,107,350530,0,20000,
Frisbros,2022-03-18,9.99,7,0,1481840,0,20000,
Crazy Mafioso,2020-11-16,1.99,13,2,1444890,0,20000,
Anime Studio Tycoon,2020-11-12,9.99,16,14,1217340,0,20000,
Bunny Battle Arena,2018-09-12,2.99,5,2,872340,0,20000,
Honey Rose: Underdog Fighter Extraordinaire,2016-09-29,0.0,32,9,523680,20000,50000,
Ships 2017,2016-10-19,14.99,63,114,439460,20000,50000,
FORECLOSED,2021-08-12,16.99,46,25,1308880,0,20000,3.0
The Great Jitters: Pudding Panic,2014-05-22,4.99,48,26,296650,20000,50000,2.0
メンヘラフレシア　フラワリングアビス,2021-06-24,19.99,25,1,1549420,0,20000,
Draw Slasher,2016-10-13,1.99,388,373,418270,50000,100000,2.0
Toilet Tycoon,2015-09-17,4.99,102,47,390220,0,20000,5.0
One Night Stand,2016-11-07,2.99,546,67,549860,50000,100000,1.0
Cryptocracy,2017-04-11,0.99,5,3,612380,0,20000,
Bouncing Traveler,2021-05-24,9.99,7,3,1632640,0,20000,
Tales of Cosmos,2016-10-20,14.99,41,8,350480,0,20000,3.0
Jack Lumber,2013-04-30,4.99,225,128,220900,100000,200000,2.0
Clazer,2016-12-27,29.99,23,8,539090,0,20000,
crazy maze ~疯狂迷宫 ~ 狂った迷路 ~ Laberinto loco ~ Labyrinthe fou ~ Verrücktes Labyrinth,2018-11-01,0.0,12,11,908500,200000,500000,
Shining Resonance Refrain,2018-07-09,29.99,770,316,809890,20000,50000,30.0
古剑奇谭二(GuJian2),2017-09-07,15.99,1802,518,570770,200000,500000,74.0
Little Walker,2016-04-06,3.99,34,2,448500,0,20000,
Dino Dawn,2018-05-11,19.99,10,30,854160,0,20000,
Killer Dog,2020-07-16,3.99,8,3,1359170,0,20000,
Surface: Return to Another World Collector's Edition,2018-08-06,9.99,2,0,897010,0,20000,
Cub Gym,2021-05-05,3.99,1,0,1607870,0,20000,
Realpolitiks,2017-02-16,14.99,671,404,553260,50000,100000,80.0
Powargrid,2016-10-05,9.99,27,5,453130,0,20000,
Isorropia,2020-05-16,0.0,1,1,1297480,0,20000,
Khimera: Puzzle Island,2020-11-29,6.99,116,2,1217830,0,20000,3.0
Ultra Hat Dimension,2020-07-16,4.99,24,0,628830,0,20000,
Hard Time,2017-08-16,4.99,152,25,686440,0,20000,
Romance of the Three Kingdoms III,2017-02-21,19.99,9,9,521710,20000,50000,18.0
NETABOKU -A robot girl changes my life as a bedridden boy-,2020-12-17,9.99,3,0,1259660,0,20000,
Train Harder,2017-04-21,7.99,10,0,614150,0,20000,
SolidFace Parametric CAD Modeler 2D/3D,2014-12-22,0.0,1,0,304970,0,20000,
HUMBLE ZOMBIE,2021-05-27,1.99,5,1,1630940,20000,50000,
Sally's Salon: Kiss & Make-Up,2018-06-28,12.99,66,27,878520,0,20000,
Ninja Guy,2015-01-05,1.99,42,119,340630,20000,50000,1.0
Lumberjack VR,2017-10-13,0.0,10,5,704310,0,20000,
while True: learn(),2019-01-17,12.99,5491,477,619150,500000,1000000,8.0
Fight N' Fall,2021-11-26,9.99,1,0,1373890,0,20000,
The Adventures of Mr. Hat,2022-02-24,2.99,14,0,1869200,0,20000,
Murasaki,2016-05-12,4.99,85,8,392030,0,20000,4.0
Pinball Inside: A VR Arcade Game,2017-03-08,0.0,47,14,605850,0,20000,
Jelly Killer,2016-03-24,3.99,237,65,441670,20000,50000,2.0
"Tactics V: ""Obsidian Brigade""",2019-08-08,19.99,20,6,962150,0,20000,
Choice of the Star Captain,2017-06-16,3.99,8,3,648510,0,20000,
Adventure of Great Wolf,2019-05-31,2.99,2,0,1071070,0,20000,
My Cashy Side Job at Lost&Found in the Subway of Million-Person City,2021-11-25,2.99,25,5,1761740,0,20000,
TURGUL: RAPID FIGHTING,2016-12-19,0.99,1,2,538700,0,20000,
Lost in Blindness,2021-05-17,9.99,24,0,1564150,0,20000,
Anchorhead,2018-01-31,9.99,35,2,726870,0,20000,38.0
Scikor - Final Scale,2020-02-28,3.99,5,0,1074390,0,20000,
Trekking and Camping | 远足与露营,2021-05-04,1.99,14,3,1554780,0,20000,
Spark and The Digital Daydream,2019-05-07,0.0,57,3,1065750,0,20000,
Google Spotlight Stories: Special Delivery,2017-12-14,0.0,35,5,714780,0,20000,1.0
Memory Note,2020-12-25,1.99,47,0,1321040,0,20000,
Hop Step Sing! Astral Piece,2019-12-12,6.99,83,1,1204930,0,20000,
Switchball HD - Puzzle Platformer,2021-05-17,2.69,59,7,1588760,0,20000,
Beyond Senses,2020-01-06,7.99,22,16,924740,0,20000,
Viking Saga: New World,2015-11-05,3.99,25,5,416340,0,20000,
Grappledrome,2017-02-13,0.0,17,3,242610,0,20000,1.0
Buried Alive: The Annihilation VR,2021-01-19,14.99,6,14,1168980,0,20000,
Sunset fighter,2020-04-18,11.99,2,0,1277340,0,20000,
Tactical Warfare Simulator,2020-12-21,49.99,1,5,1233610,0,20000,
Boson X,2014-09-15,2.99,1426,109,302610,200000,500000,3.0
VR Museum Tour Grand Collection,2020-12-08,4.99,1,2,1484150,0,20000,
Blood City,2018-08-28,2.99,18,0,922520,0,20000,
Magnesium_173,2021-08-19,14.99,3,0,1157200,0,20000,
Quest for Cathay Kingdom Mah Jong,2022-03-18,2.99,5,0,1862100,0,20000,
Hidden Desert War Top-Down 3D,2022-06-17,9.99,11,1,2022020,0,20000,
唤境引擎 Evkworld,2019-07-14,0.0,29,13,1099400,50000,100000,
The Agency of Anomalies: Mystic Hospital Collector's Edition,2016-07-18,9.99,14,0,503060,0,20000,2.0
Digital Dungeon Tiles,2020-04-13,29.99,3,5,1275970,0,20000,
Star Speeder,2018-05-11,0.99,5,0,847490,0,20000,
Mary Skelter: Nightmares,2018-07-19,24.99,421,54,837610,20000,50000,40.0
Unsung Heroes: The Golden Mask,2020-01-28,12.99,54,15,1029870,0,20000,
Gunball,2017-06-28,1.99,2,0,632240,0,20000,
DASH: Danger Action Speed Heroes,2019-06-06,9.99,15,0,898910,0,20000,
Trackmaster,2020-12-11,11.99,16,7,1042930,0,20000,
Brick Breaker,2017-02-20,9.99,35,42,539290,0,20000,1.0
Daldos,2022-04-18,7.99,3,0,1603600,0,20000,
MachRace,2016-06-30,9.99,9,1,489100,0,20000,
The Sight in a mirror,2020-05-31,1.99,1,0,1310620,0,20000,
Alien Planet,2017-12-04,0.99,2,0,740450,0,20000,
Tokyo Rogue,2022-07-15,12.99,12,0,1646090,0,20000,
Pinball HD Collection,2016-08-03,19.99,52,32,448670,0,20000,
Balloon Blowout,2016-10-28,0.99,57,72,542740,50000,100000,1.0
Mothlight,2017-08-25,0.0,351,19,687980,20000,50000,4.0
Darwin's bots: Episode 1,2017-03-27,7.99,9,8,612120,0,20000,
Damascus,2020-05-15,0.0,189,54,1259000,50000,100000,
Urban Trial Tricky™ Deluxe Edition,2021-07-22,19.99,15,9,1380060,0,20000,
Eat my Shuriken and Die!,2020-06-03,2.99,1,0,814560,0,20000,
Amoreon NightClub,2017-09-06,0.0,49,15,701100,20000,50000,
Crimson Ranch,2020-09-24,2.99,19,3,1407060,0,20000,
What The Dub?!,2021-04-08,7.99,205,15,1495860,0,20000,1.0
Strazeal,2019-08-26,1.99,1,0,1126970,0,20000,
Bitten! Someone has to be a villain,2021-06-03,2.99,5,5,1639530,0,20000,
The Curse of Nordic Cove,2015-04-23,0.99,15,15,358000,0,20000,
Ambushed,2022-02-05,1.49,0,2,1856080,0,20000,
Q.U.B.E: Director's Cut,2014-05-21,2.49,1438,285,239430,500000,1000000,3.0
Travis Strikes Again: No More Heroes Complete Edition,2019-10-17,39.99,298,43,961490,0,20000,9.0
Ossuary,2015-05-27,9.99,33,3,363500,0,20000,3.0
Zoo Empire,2015-09-03,6.99,98,32,286750,20000,50000,
Borderless Gaming,2015-07-23,3.99,2461,336,388080,200000,500000,
Doge to the Moon,2021-03-19,2.0,4,0,1565630,0,20000,
Ape Hit,2018-08-31,0.99,5,1,925360,0,20000,
Investigator,2016-06-01,4.99,654,277,482300,50000,100000,2.0
Sunshine & Overcast,2021-10-15,0.0,3,3,964910,0,20000,
Gra&Vity,2021-10-07,0.99,14,0,1716950,0,20000,
Roads of Rome 3,2015-10-19,3.99,27,9,411530,0,20000,
Expeditions: Conquistador,2013-05-30,19.99,1079,268,237430,100000,200000,28.0
Frog Climbers,2016-10-06,6.99,131,28,485120,20000,50000,1.0
Elems,2016-11-11,0.99,11,7,528670,200000,500000,
Cinders Of Hades,2021-01-26,2.99,1,2,1496530,0,20000,
TRIZEAL Remix,2016-07-07,11.99,22,2,465070,0,20000,
RePete,2016-03-09,1.99,31,6,448010,0,20000,2.0
Twisted Sails,2018-03-26,0.0,12,4,782630,20000,50000,
Goddess Of War Essa,2022-04-06,3.99,1,0,1941850,0,20000,
Pocket Plants,2020-12-07,0.0,15,13,1467740,0,20000,
Doler,2020-01-17,2.99,5,1,1212930,0,20000,
White Lavender,2022-06-20,4.99,30,3,1975670,0,20000,
Poly Puzzle: Cats,2021-11-17,1.99,3,2,1808480,0,20000,
Draoi,2018-09-27,19.99,0,1,818070,0,20000,
Thunder Kid,2018-10-22,7.99,29,3,944590,0,20000,
Understand,2020-10-30,3.99,409,31,1299400,20000,50000,
School of the Dead: Anastasia,2018-11-27,0.99,30,7,958090,0,20000,
Grimoire Chronicles,2017-04-20,0.51,44,15,607040,20000,50000,
Meditation VR,2020-07-31,0.0,49,16,1301850,0,20000,
Masquerade: The Baubles of Doom,2016-04-20,14.99,15,42,299380,0,20000,3.0
The Case of Maneki,2022-03-20,9.99,3,0,1626950,0,20000,
Nevermind,2015-09-29,19.99,319,93,342260,50000,100000,3.0
Dungless 2,2021-07-27,2.99,8,2,1684920,0,20000,
Tango: The Adventure Game,2018-11-16,2.99,50,9,888010,0,20000,2.0
Plenty: Skyhearth,2016-10-20,0.0,48,8,538950,20000,50000,
Carnivores: Dinosaur Hunter Reborn,2015-05-27,14.99,573,209,293520,50000,100000,1.0
"Calm Down, Stalin",2016-09-08,3.99,846,99,502940,20000,50000,
Kandidatos,2020-09-01,0.99,2535,248,1395560,200000,500000,
凯旋岛,2019-04-04,0.0,11,10,1038680,0,20000,
Empathy: Path of Whispers,2017-05-16,19.99,110,69,291690,0,20000,4.0
Super Toxicboy,2020-02-25,0.99,1,0,1246200,0,20000,
Haunted House - The Murder,2021-09-21,1.99,0,3,1581010,0,20000,
Prisoner,2017-07-17,2.99,22,15,653210,0,20000,
MURI,2013-12-06,4.99,427,43,267360,20000,50000,1.0
Dynamic Dungeons Editor,2021-10-31,29.99,55,19,1694430,0,20000,
Horror In Valkeala,2022-03-03,0.99,17,16,1886850,0,20000,
SHINRAI - Broken Beyond Despair,2016-08-26,14.99,98,8,499910,0,20000,8.0
From Dusk To Dawn,2022-01-21,6.99,6,2,1863170,0,20000,
Kittens and Yarn,2021-06-17,1.99,108,6,1644840,0,20000,
Frisbee For Fun,2020-11-21,2.99,17,2,1422880,0,20000,
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,2016-07-18,19.99,7129,401,410320,1000000,2000000,22.0
Toy Tanks,2022-05-12,11.99,33,1,1345440,20000,50000,
Hotel Transylvania 3: Monsters Overboard,2018-07-10,24.99,10,4,757600,0,20000,5.0
Be Vigilant!,2022-01-23,15.0,4,0,952000,0,20000,
SICK,2022-04-30,9.99,13,13,1735930,0,20000,
HIT,2015-02-09,0.0,181,298,336670,200000,500000,
Fragments,2017-11-09,0.0,3,1,733420,20000,50000,1.0
RoadPunk,2021-02-20,0.99,4,2,1528770,0,20000,
The Herbalist,2016-11-15,5.99,559,35,542260,20000,50000,3.0
The Story Goes On,2018-03-02,4.99,102,19,369560,0,20000,2.0
VR JAPAN,2021-01-08,6.99,40,12,1494400,0,20000,
Square Brawl,2015-10-22,4.99,117,31,394850,20000,50000,
Pantsu Hunter: Back to the 90s,2019-01-17,1.79,148,29,953900,0,20000,2.0
Rogue Stormers,2016-04-21,19.99,656,297,299480,200000,500000,3.0
Buyhads,2021-02-05,9.99,11,5,1530670,0,20000,
Minit Fun Racer,2021-02-18,2.99,184,6,1503530,0,20000,1.0
Yissa Deep Realms,2017-11-23,4.99,67,5,750960,0,20000,4.0
A Normal Lost Phone,2017-01-26,2.99,1845,231,523210,50000,100000,1.0
Big Rumble Boxing: Creed Champions,2021-09-03,39.99,52,31,1278170,0,20000,6.0
Blame Him,2019-06-02,14.99,59,70,950400,0,20000,5.0
Russian Fishing 4,2021-11-10,0.0,19370,5757,766570,2000000,5000000,
Tiny Hunter,2021-07-06,7.99,6,0,1672700,0,20000,
Super Glitter Rush,2021-06-30,3.99,58,2,1338020,0,20000,1.0
Texas Holdem Poker: Solo King,2020-03-04,12.99,24,17,1213420,0,20000,
Ninja Kunoichi,2020-09-03,7.99,1,0,1385820,0,20000,
Aurum Kings,2018-07-23,0.0,0,1,848460,0,20000,
One More Night: BiO Clinic,2017-11-06,4.99,4,0,735650,0,20000,
Peekaboo,2019-08-07,1.49,2509,651,1048100,100000,200000,
Echo Tokyo: An Intro,2016-01-27,4.99,94,57,345700,0,20000,1.0
Resurgence: Earth United,2017-09-29,8.99,23,4,674250,0,20000,
Space Pilgrim Episode III: Delta Pavonis,2016-02-04,1.13,291,48,439250,200000,500000,2.0
Alchera,2022-07-16,19.99,2,0,1788650,0,20000,
Farm Builder,2020-06-12,3.99,7,4,1275060,0,20000,
Snakest,2018-12-07,0.49,5,8,940350,0,20000,
Immortal Darkness: Curse of The Pale King,2018-10-17,7.99,39,7,868060,0,20000,
Geometric Feel the Beats,2020-08-19,1.99,32,8,1284550,0,20000,
Need for Spirit: Drink & Drive Simulator/醉驾模拟器,2018-09-05,0.99,70,51,924670,0,20000,
Escape 2042 - The Truth Defenders,2017-03-31,5.99,9,2,598590,0,20000,
A Room Beyond,2017-06-13,7.99,18,5,454330,0,20000,7.0
Escape Ninja,2021-09-29,15.99,1,2,1723050,0,20000,
Fruity Smoothie,2017-12-21,0.0,175,24,763230,20000,50000,
War Ghost,2019-09-06,0.99,1,3,1140060,0,20000,6.0
Love in Belarus,2021-06-21,1.99,42,4,1644920,0,20000,
iB Cricket,2020-10-25,29.99,93,4,957070,0,20000,
Elemental Defenders TD,2020-04-02,1.64,1,0,1270780,0,20000,
Piecewise: build chat bots with blocks,2021-11-02,14.99,12,0,1702210,0,20000,
